task,model,provenance,K,m,sigma,neff_spectral,neff_spectral_ratio,observed_max_dev,neff_moment,neff_moment_asymptotic,neff_moment_saturated
subj,Qwen/Qwen2.5-1.5B-Instruct,all,111,20,0.4955976362100782,3.4907873960251354,0.03144853509932555,0.1901,16.204919801669654,4.83755466580443,False
subj,Qwen/Qwen2.5-1.5B-Instruct,all,111,50,0.4955976362100782,3.4907873960251354,0.03144853509932555,0.11341666666666668,16.101203060693532,4.812160054517285,False
subj,Qwen/Qwen2.5-1.5B-Instruct,all,111,100,0.4955976362100782,3.4907873960251354,0.03144853509932555,0.07114999999999999,15.610107187490604,4.691712093388369,False
subj,Qwen/Qwen2.5-1.5B-Instruct,all,111,200,0.4955976362100782,3.4907873960251354,0.03144853509932555,0.03667083333333333,17.560177709400087,5.168053670375538,False
subj,Qwen/Qwen2.5-1.5B-Instruct,seed,10,20,0.49720217215937423,2.102783408739203,0.2102783408739203,0.11219166666666666,4.067110427853602,1.72552212474652,False
subj,Qwen/Qwen2.5-1.5B-Instruct,seed,10,50,0.49720217215937423,2.102783408739203,0.2102783408739203,0.06603333333333333,3.9635853270182633,1.697494747585047,False
subj,Qwen/Qwen2.5-1.5B-Instruct,seed,10,100,0.49720217215937423,2.102783408739203,0.2102783408739203,0.04091666666666665,3.831886803966115,1.6618317798940516,False
subj,Qwen/Qwen2.5-1.5B-Instruct,seed,10,200,0.49720217215937423,2.102783408739203,0.2102783408739203,0.021724999999999984,4.243157234416238,1.773159143753961,False
subj,Qwen/Qwen2.5-1.5B-Instruct,ape,89,20,0.49572592705703256,3.610294675132822,0.040565108709357554,0.1858083333333333,14.85287788193516,4.505306290832825,False
subj,Qwen/Qwen2.5-1.5B-Instruct,ape,89,50,0.49572592705703256,3.610294675132822,0.040565108709357554,0.11091666666666669,14.791122297526085,4.490066242074298,False
subj,Qwen/Qwen2.5-1.5B-Instruct,ape,89,100,0.49572592705703256,3.610294675132822,0.040565108709357554,0.069575,14.351211507061002,4.381335132155095,False
subj,Qwen/Qwen2.5-1.5B-Instruct,ape,89,200,0.49572592705703256,3.610294675132822,0.040565108709357554,0.0358,15.973102833648946,4.7807745607638745,False
subj,Qwen/Qwen2.5-1.5B-Instruct,mutation,12,20,0.4933014253945516,2.3608435772775644,0.19673696477313038,0.11534166666666669,4.328858217181001,1.7963344160599422,False
subj,Qwen/Qwen2.5-1.5B-Instruct,mutation,12,50,0.4933014253945516,2.3608435772775644,0.19673696477313038,0.06480833333333334,3.8927863855257216,1.6783235999110273,False
subj,Qwen/Qwen2.5-1.5B-Instruct,mutation,12,100,0.4933014253945516,2.3608435772775644,0.19673696477313038,0.04048333333333334,3.814686280758469,1.6571737447170884,False
subj,Qwen/Qwen2.5-1.5B-Instruct,mutation,12,200,0.4933014253945516,2.3608435772775644,0.19673696477313038,0.021670833333333358,4.283906587699389,1.7841799624302184,False
