task,model,provenance,K,m,sigma,neff_spectral,neff_spectral_ratio,observed_max_dev,neff_moment,neff_moment_asymptotic,neff_moment_saturated
agnews,Qwen/Qwen2.5-1.5B-Instruct,all,111,20,0.3530280850425768,1.5327161935908515,0.013808253996313977,0.09189166666666665,5.332691066966354,2.0666598689184044,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,all,111,50,0.3530280850425768,1.5327161935908515,0.013808253996313977,0.06138333333333334,6.8756162404674095,2.47686206415758,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,all,111,100,0.3530280850425768,1.5327161935908515,0.013808253996313977,0.03744166666666668,6.300629448702763,2.3247955436894414,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,all,111,200,0.3530280850425768,1.5327161935908515,0.013808253996313977,0.019291666666666662,6.771709266241171,2.4494519820338057,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,seed,10,20,0.3408176443006827,1.4567161043224395,0.14567161043224394,0.04795,2.2379625111668022,1.236244722879722,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,seed,10,50,0.3408176443006827,1.4567161043224395,0.14567161043224394,0.03308333333333333,2.5855500674762,1.3266810335236867,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,seed,10,100,0.3408176443006827,1.4567161043224395,0.14567161043224394,0.01908333333333334,2.3500397199791374,1.2650852392088465,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,seed,10,200,0.3408176443006827,1.4567161043224395,0.14567161043224394,0.009695833333333334,2.3875435976769688,1.2748127199425827,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,ape,91,20,0.35526598403719917,1.519038559590613,0.01669273142407267,0.08888333333333331,4.918875057371513,1.95551012471423,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,ape,91,50,0.35526598403719917,1.519038559590613,0.01669273142407267,0.05945833333333333,6.271569716191903,2.3170848582204044,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,ape,91,100,0.35526598403719917,1.519038559590613,0.01669273142407267,0.03618333333333333,5.745515307683199,2.1770807612896177,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,ape,91,200,0.35526598403719917,1.519038559590613,0.01669273142407267,0.018716666666666656,6.205111376156596,2.2994416852090263,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,mutation,10,20,0.3444947991866737,1.3716788149697998,0.13716788149697998,0.03735833333333332,1.8245291898409823,1.1342829331879134,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,mutation,10,50,0.3444947991866737,1.3716788149697998,0.13716788149697998,0.02805833333333334,2.1749244314996368,1.2201968271370454,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,mutation,10,100,0.3444947991866737,1.3716788149697998,0.13716788149697998,0.016183333333333355,2.0142412171270196,1.1799982002182619,False
agnews,Qwen/Qwen2.5-1.5B-Instruct,mutation,10,200,0.3444947991866737,1.3716788149697998,0.13716788149697998,0.008166666666666678,2.0289971788349646,1.18364107346149,False
