task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,200,-0.0023339583333333368,0.0023339583333333368,0.0003619738468750007,0.01902561028916026,0.95,0.0764295025445702
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,50,0.028549999999999992,0.028549999999999992,0.0028660555555555557,0.05353555412579154,0.745,0.1402175622061406
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,50,-0.002550000000000007,0.002550000000000007,0.004771722222222222,0.0690776535662744,0.86,0.21638257509950187
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,50,-0.06908456062704463,0.06908456062704463,0.007947594690230096,0.08914928317283373,0.895,0.24535242290155537
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,50,0.01109637064089935,0.01109637064089935,0.0021683392501803274,0.046565429775535495,0.875,0.15616969890574567
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,50,-0.008950666666666628,0.008950666666666628,0.002538778311111114,0.05038629090448228,0.98,0.2280454245107579
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,50,0.006941,0.006941,0.0024918617888888893,0.049918551550389455,0.815,0.1395707985195248
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,100,0.020150000000000005,0.020150000000000005,0.0012431666666666674,0.03525856869849749,0.85,0.10327927987692177
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,100,-0.00145000000000001,0.00145000000000001,0.0023303888888888897,0.048274101637305375,0.885,0.15688990767810687
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,100,-0.04893599394750244,0.04893599394750244,0.003502263224072086,0.05917992247436698,0.95,0.18071788693685398
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,100,0.007616911265354254,0.007616911265354254,0.0008677243255153615,0.029457160852929487,0.92,0.11532255407219898
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,100,-0.006493999999999962,0.006493999999999962,0.0009734144888888887,0.031199591165412547,0.98,0.1602074697956257
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,100,0.0038604999999999993,0.0038604999999999993,0.000928966216666668,0.03047894710561157,0.87,0.10330868266596833
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,200,0.011941666666666673,0.011941666666666673,0.000425708333333334,0.02063270058265117,0.92,0.0747348257455056
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,200,-0.003666666666666672,0.003666666666666672,0.00102688888888889,0.03204510709747886,0.925,0.11182674320372522
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,200,-0.036791027373606074,0.036791027373606074,0.001688708014804076,0.04109389267037227,0.97,0.13077085554253295
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,200,0.0029363489985294745,0.0029363489985294745,0.0002909259415594237,0.017056551279770002,0.965,0.08365561144963576
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,200,-0.006959333333333333,0.006959333333333333,0.00036973831111111125,0.01922858057972848,0.995,0.11254320513074033
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,200,0.0001212916666666608,0.0001212916666666608,0.00032827031562500066,0.018118231581062228,0.955,0.07473534369427207
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,50,0.03874999999999999,0.03874999999999999,0.0031854999999999995,0.056440233876198634,0.685,0.13373529236330042
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,50,-0.0012666666666666677,0.0012666666666666677,0.004716333333333334,0.0686755657663869,0.835,0.21649355191950792
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,50,-0.07122864229935862,0.07122864229935862,0.007872827435006984,0.08872895488512746,0.95,0.2512522173184602
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,50,0.021106886431780592,0.021106886431780592,0.0020790091957801475,0.045596153300252726,0.84,0.14934985114765761
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,50,-0.005997333333333296,0.005997333333333296,0.002045192711111113,0.04522380690644158,0.985,0.22468495986495646
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,50,0.015099999999999997,0.015099999999999997,0.0023204160000000005,0.04817069648655706,0.825,0.13382433445532144
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,100,0.024583333333333342,0.024583333333333342,0.0013310555555555565,0.03648363407824879,0.79,0.10136515557994771
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,100,-0.003983333333333342,0.003983333333333342,0.0023932777777777793,0.0489211383532495,0.905,0.15854634506495044
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,100,-0.0543342173533137,0.0543342173533137,0.003977015777171059,0.06306358519122632,0.965,0.19043754007062325
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,100,0.011790091068966503,0.011790091068966503,0.0008601470251028712,0.029328263247299032,0.925,0.1134838443533416
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,100,-0.0061459999999999735,0.0061459999999999735,0.0008684688888888887,0.029469796213901594,0.985,0.1600283251336258
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,100,0.005768833333333345,0.005768833333333345,0.0008886004805555573,0.029809402552811375,0.89,0.10032210323213939
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,200,0.013641666666666679,0.013641666666666679,0.00044206944444444534,0.021025447544450637,0.89,0.07442664818274305
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,200,-0.007850000000000003,0.007850000000000003,0.0009320555555555568,0.0305295849227525,0.945,0.11330655139384752
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,200,-0.042501882308420454,0.042501882308420454,0.002108614788531557,0.04591965579718076,0.98,0.13982741618192887
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,200,0.004709454084967114,0.004709454084967114,0.0002789090518162064,0.01670057040391754,0.975,0.08317383770066222
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,200,-0.007938666666666662,0.007938666666666662,0.00038118342222222295,0.019523919233141254,1.0,0.11321319112835133
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,200,0.0002902916666666699,0.0002902916666666699,0.0003031175975694453,0.017410272759765866,0.96,0.07432357627323478
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,50,0.04291666666666666,0.04291666666666666,0.003224499999999999,0.05678468103282785,0.68,0.13245123729585578
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,50,0.0006999999999999996,0.0006999999999999996,0.004132222222222221,0.06428236322835543,0.88,0.2184238783937426
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,50,-0.08020656306371787,0.08020656306371787,0.008800911251722198,0.09381317205873703,0.97,0.2649684627251348
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,50,0.025767187950511507,0.025767187950511507,0.0020102809166827546,0.044836156354919124,0.85,0.1474175413078493
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,50,-0.005965999999999951,0.005965999999999951,0.001686468177777778,0.04106663095236542,0.99,0.22703983047763843
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,50,0.01506816666666667,0.01506816666666667,0.002037361583333333,0.04513714194910144,0.815,0.1316850128693478
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,100,0.028800000000000006,0.028800000000000006,0.0014953333333333344,0.03866954012311673,0.8,0.10015116671003962
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,100,-0.0019166666666666755,0.0019166666666666755,0.0015478333333333334,0.03934251305309987,0.945,0.15777527098388636
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,100,-0.059462795429359006,0.059462795429359006,0.004464021945522408,0.06681333658426593,0.97,0.2003522294322742
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,100,0.016223045519318798,0.016223045519318798,0.000929112286064165,0.030481343245732546,0.885,0.11186777836963475
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,100,-0.0054599999999999605,0.0054599999999999605,0.0008510961777777776,0.02917355271093628,0.99,0.16025694765808
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,100,0.007450250000000003,0.007450250000000003,0.0008471014375000013,0.02910500708641043,0.865,0.09975963608305777
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,200,0.016558333333333352,0.016558333333333352,0.0004954583333333344,0.022258893353743675,0.86,0.07371057340237751
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,200,-0.006133333333333343,0.006133333333333343,0.0009510000000000015,0.030838287890218575,0.945,0.11299417375560136
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,200,-0.04599806989867825,0.04599806989867825,0.0023967724106369217,0.04895684232706315,0.99,0.1474578699283111
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,200,0.007417317931097808,0.007417317931097808,0.00027391106521510567,0.01655025876580501,0.965,0.08259064074053697
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,200,-0.00773066666666666,0.00773066666666666,0.0003254269333333336,0.018039593491354887,1.0,0.11326739656057512
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,200,0.000903583333333336,0.000903583333333336,0.00024917611458333424,0.0157853132557873,0.965,0.07364680734931603
